age,income,education,gender,credit_score,approved
25,52000,Bachelor,Female,680,1
45,78000,Master,Male,720,1
32,48000,Bachelor,Female,650,0
28,55000,Bachelor,Male,690,1
55,95000,PhD,Male,740,1
22,35000,High School,Female,620,0
38,62000,Master,Female,700,1
41,71000,Bachelor,Male,710,1
29,47000,Associate,Female,640,0
50,88000,Master,Male,730,1
26,51000,Bachelor,Female,675,1
33,59000,Master,Male,695,1
24,42000,Bachelor,Female,655,0
47,82000,Master,Male,725,1
31,56000,Bachelor,Female,685,1
36,64000,Master,Male,705,1
27,49000,Associate,Female,660,0
44,76000,Master,Male,715,1
30,54000,Bachelor,Female,680,1
39,68000,Master,Male,710,1
23,38000,High School,Female,630,0
48,85000,PhD,Male,735,1
35,61000,Bachelor,Female,695,1
42,73000,Master,Male,720,1
28,50000,Bachelor,Female,670,0
52,91000,Master,Male,740,1
25,45000,Associate,Female,650,0
37,65000,Master,Male,708,1
34,58000,Bachelor,Female,688,1
46,79000,Master,Male,722,1
21,33000,High School,Female,615,0
49,87000,PhD,Male,738,1
32,57000,Bachelor,Female,683,1
40,70000,Master,Male,712,1
26,48000,Associate,Female,658,0
51,89000,Master,Male,732,1
29,53000,Bachelor,Female,678,1
43,75000,Master,Male,718,1
24,41000,High School,Female,642,0
53,93000,PhD,Male,742,1
33,60000,Master,Female,698,1
38,67000,Bachelor,Male,709,1
27,50000,Associate,Female,668,0
45,77000,Master,Male,721,1
31,55000,Bachelor,Female,682,1
36,63000,Master,Male,706,1
22,37000,High School,Female,625,0
47,81000,Master,Male,724,1
30,52000,Bachelor,Female,676,1
41,72000,Master,Male,714,1
